condition	dummy_condition	subject	session	category	word	rt	log_rt	fasttext_cos_similarity	ppmi_cos_similarity
sham	1.0	013	3	Schraube	Hammer	2405.8571415908	7.7860770847923035	0.23224734514951706	0.31171183644601275
aIFG	0.5	014	1	Schraube	Nagel	1187.3376709718	7.080310694360272	0.3562723845243454	0.3072773967796447
aIFG	0.5	015	2	Schraube	Mutter	1555.72727836824	7.350340998090073	0.2713833376765251	0.053494937383154584
pIFG	1.5	016	2	Schraube	Mutter	1176.66666666666	7.071290358691029	0.2713833376765251	0.053494937383154584
sham	1.0	017	1	Schraube	Mutter	1549.99999999999	7.346655163176532	0.2713833376765251	0.053494937383154584
pIFG	1.5	018	3	Schraube	Mutter	1843.33333333333	7.519873154229998	0.2713833376765251	0.053494937383154584
sham	1.0	019	3	Schraube	Mutter	1549.99999999999	7.346655163176532	0.2713833376765251	0.053494937383154584
aIFG	0.5	020	1	Schraube	Mutter	2203.33333333333	7.698180399006551	0.2713833376765251	0.053494937383154584
pIFG	1.5	021	2	Schraube	Hammer	2287.78354947655	7.735775754309053	0.23224734514951706	0.31171183644601275
aIFG	0.5	022	2	Schraube	Bauteil	2453.0865784365	7.805509905184984	0.3464091345667839	0.5501114337813515
pIFG	1.5	023	3	Schraube	Nagel	1416.66666666666	7.256767606585519	0.3562723845243454	0.3072773967796447
sham	1.0	024	1	Schraube	Mutter	1576.66666666666	7.363702241238133	0.2713833376765251	0.053494937383154584
sham	1.0	103	3	Schraube	Hammer	2292.50649316112	7.737837145147725	0.23224734514951706	0.31171183644601275
aIFG	0.5	001	3	Schwester	Bruder	1385.70130572373	7.23468304436443	0.5808688402175903	0.8547925565508253
sham	1.0	002	2	Schwester	Bruder	922.852824635895	6.828552778258083	0.5808688402175903	0.8547925565508253
pIFG	1.5	003	1	Schwester	Bruder	1300.68831940147	7.171417408090731	0.5808688402175903	0.8547925565508253
pIFG	1.5	004	2	Schwester	Bruder	1059.81819148841	6.966795768123557	0.5808688402175903	0.8547925565508253
aIFG	0.5	005	1	Schwester	Bruder	951.190486743314	6.858765105892734	0.5808688402175903	0.8547925565508253
aIFG	0.5	006	3	Schwester	Bruder	1016.66666666666	6.925267704066761	0.5808688402175903	0.8547925565508253
pIFG	1.5	007	1	Schwester	Bruder	951.190486743314	6.858765105892734	0.5808688402175903	0.8547925565508253
sham	1.0	008	2	Schwester	Bruder	1036.20347306557	6.944283402160224	0.5808688402175903	0.8547925565508253
sham	1.0	009	3	Schwester	Bruder	1125.93940307239	7.0272607442467265	0.5808688402175903	0.8547925565508253
aIFG	0.5	010	1	Schwester	Bruder	1064.54113517298	6.971238057243935	0.5808688402175903	0.8547925565508253
pIFG	1.5	011	2	Schwester	Bruder	1187.3376709718	7.080310694360272	0.5808688402175903	0.8547925565508253
sham	1.0	012	3	Schwester	Bruder	880.346331474767	6.781450660464115	0.5808688402175903	0.8547925565508253
pIFG	1.5	013	1	Schwester	Bruder	1456.54546099227	7.28450910881353	0.5808688402175903	0.8547925565508253
sham	1.0	014	2	Schwester	Bruder	861.454556736488	6.759782459675709	0.5808688402175903	0.8547925565508253
sham	1.0	015	3	Schwester	Bruder	1952.4545478721	7.5773546472022275	0.5808688402175903	0.8547925565508253
aIFG	0.5	016	3	Schwester	Bruder	1083.43290991126	6.98881246566203	0.5808688402175903	0.8547925565508253
pIFG	1.5	017	2	Schwester	Bruder	1593.5108278448	7.374322277173245	0.5808688402175903	0.8547925565508253
aIFG	0.5	018	1	Schwester	Bruder	818.94806357536	6.7092410011492	0.5808688402175903	0.8547925565508253
pIFG	1.5	019	1	Schwester	Vater	1305.41126308604	7.175039163087278	0.5263258144259453	0.7870690122862148
sham	1.0	020	2	Schwester	Bruder	1173.16883991809	7.068315805991379	0.5808688402175903	0.8547925565508253
aIFG	0.5	021	3	Schwester	Bruder	1234.5671078175	7.119285340276937	0.5808688402175903	0.8547925565508253
sham	1.0	022	3	Schwester	Bruder	1022.03464201186	6.9305286285374805	0.5808688402175903	0.8547925565508253
aIFG	0.5	023	1	Schwester	Bruder	984.251092535302	6.892896524965949	0.5808688402175903	0.8547925565508253
pIFG	1.5	024	2	Schwester	Bruder	1357.36364361631	7.214036051076648	0.5808688402175903	0.8547925565508253
pIFG	1.5	103	1	Schwester	Bruder	856.731613051918	6.754291245253384	0.5808688402175903	0.8547925565508253
aIFG	0.5	001	3	See	Meer	2575.88311423531	7.854335852322686	0.4737318158149719	0.7701878454113652
sham	1.0	002	2	See	Meer	1710.0	7.444833273892193	0.4737318158149719	0.7701878454113652
pIFG	1.5	003	1	See	Wasser	1631.29437732136	7.397741897518487	0.21928643435239792	0.2866332924764774
pIFG	1.5	004	2	See	Wasser	1150.0	7.048386408721883	0.21928643435239792	0.2866332924764774
aIFG	0.5	005	1	See	Meer	1136.66666666666	7.036734660238591	0.4737318158149719	0.7701878454113652
aIFG	0.5	006	3	See	Meer	1154.27706517981	7.052095477461065	0.4737318158149719	0.7701878454113652
pIFG	1.5	007	1	See	Teich	1220.39827676379	7.107751609918373	0.40834739059209824	0.4053431595574827
sham	1.0	008	2	See	Tuempel	1523.33333333333	7.3293124349899434	0.2856189124286175	0.3205696938102742
sham	1.0	009	3	See	Meer	1509.99999999999	7.320526962272733	0.4737318158149719	0.7701878454113652
aIFG	0.5	010	1	See	Teich	1848.54978681157	7.522697529975658	0.40834739059209824	0.4053431595574827
pIFG	1.5	011	2	See	Fluss	2958.44155268546	7.992755864885405	0.3743865489959717	0.5720285756347261
sham	1.0	012	3	See	Meer	1323.33333333333	7.188664467146486	0.4737318158149719	0.7701878454113652
pIFG	1.5	013	1	See	Teich	1957.17749155667	7.579769468398118	0.40834739059209824	0.4053431595574827
sham	1.0	014	2	See	Meer	1376.25541835459	7.227847970528852	0.4737318158149719	0.7701878454113652
sham	1.0	015	3	See	Fluss	2023.29870314065	7.612978600121498	0.3743865489959717	0.5720285756347261
aIFG	0.5	016	3	See	Teich	1319.58009413975	7.185826384301229	0.40834739059209824	0.4053431595574827
pIFG	1.5	017	2	See	Teich	1494.32901046883	7.310101535504273	0.40834739059209824	0.4053431595574827
aIFG	0.5	018	1	See	Teich	1867.44156154984	7.5328599728409635	0.40834739059209824	0.4053431595574827
pIFG	1.5	019	1	See	Fluss	1329.02598150889	7.192953755994084	0.3743865489959717	0.5720285756347261
sham	1.0	020	2	See	Fluss	2122.48052051661	7.660811776420274	0.3743865489959717	0.5720285756347261
aIFG	0.5	021	3	See	Meer	1909.94805471097	7.555354761615972	0.4737318158149719	0.7701878454113652
sham	1.0	022	3	See	Meer	1432.93074256943	7.2681747233192056	0.4737318158149719	0.7701878454113652
aIFG	0.5	023	1	See	Teich	2009.12987208694	7.6059546119443695	0.40834739059209824	0.4053431595574827
pIFG	1.5	024	2	See	Teich	1673.80087048248	7.423449553897946	0.40834739059209824	0.4053431595574827
pIFG	1.5	103	1	See	Fluss	2471.97835317477	7.813178514217748	0.3743865489959717	0.5720285756347261
sham	1.0	001	1	Silber	Gold	1437.653686254	7.271463015139555	0.6602579951286316	0.7686301734114039
pIFG	1.5	002	3	Silber	Gold	1083.33333333333	6.988720637805239	0.6602579951286316	0.7686301734114039
aIFG	0.5	003	2	Silber	Gold	1404.59308046201	7.2482146140249775	0.6602579951286316	0.7686301734114039
aIFG	0.5	004	3	Silber	Gold	1069.99999999999	6.976348070447739	0.6602579951286316	0.7686301734114039
sham	1.0	005	2	Silber	Gold	1876.88744891898	7.5379027266192065	0.6602579951286316	0.7686301734114039
sham	1.0	006	1	Silber	Gold	1229.84416413293	7.11545552526507	0.6602579951286316	0.7686301734114039
aIFG	0.5	007	2	Silber	Gold	970.082261481593	6.878411183015591	0.6602579951286316	0.7686301734114039
pIFG	1.5	008	3	Silber	Gold	1083.43290991126	6.98881246566203	0.6602579951286316	0.7686301734114039
pIFG	1.5	009	1	Silber	Gold	1645.46320837507	7.406384756213019	0.6602579951286316	0.7686301734114039
sham	1.0	010	2	Silber	Gold	1248.7359388712	7.130687559077114	0.6602579951286316	0.7686301734114039
aIFG	0.5	011	3	Silber	Gold	1347.91775624717	7.207057887890493	0.6602579951286316	0.7686301734114039
pIFG	1.5	012	1	Silber	Gold	856.666666666666	6.754215523613634	0.6602579951286316	0.7686301734114039
aIFG	0.5	013	2	Silber	Gold	1484.88312309969	7.303764570165421	0.6602579951286316	0.7686301734114039
pIFG	1.5	014	3	Silber	Gold	1593.5108278448	7.374322277173245	0.6602579951286316	0.7686301734114039
pIFG	1.5	015	1	Silber	Gold	1404.59308046201	7.2482146140249775	0.6602579951286316	0.7686301734114039
sham	1.0	016	1	Silber	Gold	984.251092535302	6.892896524965949	0.6602579951286316	0.7686301734114039
aIFG	0.5	017	3	Silber	Gold	1636.01732100593	7.400631158259524	0.6602579951286316	0.7686301734114039
sham	1.0	018	2	Silber	Gold	1055.09524780384	6.96233365698266	0.6602579951286316	0.7686301734114039
aIFG	0.5	019	2	Silber	Gold	1423.48485520029	7.261565522221418	0.6602579951286316	0.7686301734114039
pIFG	1.5	020	3	Silber	Gold	1347.91775624717	7.207057887890493	0.6602579951286316	0.7686301734114039
sham	1.0	021	1	Silber	Gold	1961.90043524124	7.58217847227756	0.6602579951286316	0.7686301734114039
pIFG	1.5	022	1	Silber	Gold	1338.47186887803	7.200030687553257	0.6602579951286316	0.7686301734114039
sham	1.0	023	2	Silber	Gold	1588.78788416023	7.3713558801263455	0.6602579951286316	0.7686301734114039
aIFG	0.5	024	3	Silber	Gold	1569.89610942195	7.359401505847375	0.6602579951286316	0.7686301734114039
aIFG	0.5	103	2	Silber	Eisen	1696.66666666666	7.43701003821649	0.37678826600313187	0.30679658453319747
pIFG	1.5	001	2	Sofa	Couch	2235.83116894629	7.7128154865571625	0.7183795273303986	0.8468897314846341
